"X","study.name","species","tag","id","id.tag","sex","age.at.deployment","captive.raised","rehabilitated","start.date","end.date","start.date.adjusted","end.date.adjusted","start.lat","start.long","end.lat","end.long","start.country","end.country","deployment.duration","fate","how.fate.determined","cause.of.death","comments"
41,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia","Neophron percnopterus","4.85E+10","Armenia3","Armenia3_48500704009",NA,"Adult","N","N","7/24/15 0:02","11/8/15 0:01",2015-07-24 11:00:00,NA,39.5061,46.345799,6.092233,44.763116,"Armenia","Ethiopia",106.9993056,NA,NA,NA,NA
42,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia","Neophron percnopterus","118174","Arpacay","Arpacay_118174",NA,"SA (3-4 years)","N","N","8/20/12 17:00","9/27/12 13:00",2012-08-21 10:00:00,NA,40.123,43.60117,31.72117,44.4315,"Turkey","Iraq",37.83333333,NA,NA,NA,NA
43,"Egyptian Vulture Reintroduction CERM Italy","Neophron percnopterus","75604","Arturo","Arturo_75604","M","<1","Y","","","",NA,NA,NA,NA,NA,NA,"Italy","Italy",NA,"","","",""
44,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","131250","Asparuh","Asparuh_131250",NA,NA,NA,NA,"8/4/13 12:06","9/13/13 3:00",NA,NA,41.6,25.985,33.62233,20.8535,"Bulgaria",NA,39.62083333,NA,NA,NA,NA
45,"Egyptian Vulture Reintroduction CERM Italy","Neophron percnopterus","42708","Barbara","Barbara_42708","F","<1","Y","","","",NA,NA,NA,NA,NA,NA,"Italy","Italy",NA,"","","",""
46,"Egyptian vulture in France (grands Causses-Baronnies)","Neophron percnopterus","181635","Baronnies_2019_Imm_wild_OR181635_5T","Baronnies_2019_Imm_wild_OR181635_5T_181635",NA,"1","N","Y","4/1/19 17:25","5/31/19 3:36",NA,NA,44.43438339,5.322945118,43.88167572,5.803043365,"France","France",59.4240625,"alive","telemetry data: still moving",NA,"born wild, found weakened in Baronnies in autumn 2018. kept in rehabilitation whole winter. released in Baronnies in April 2019"
47,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","171346","Belgin","Belgin_171346",NA,NA,NA,NA,"8/9/18 1:56","9/19/18 0:07",NA,NA,41.63591003,25.85634422,36.31967926,30.43362427,"Bulgaria","Turkey",40.92418981,NA,NA,NA,NA
48,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","130672","Berenice","Berenice_130672",NA,NA,NA,NA,"8/2/13 3:00","9/12/13 14:17",NA,NA,39.8,21.68933,33.144,23.253,"Greece",NA,41.47013889,NA,NA,NA,NA
49,"Egyptian Vulture Reintroduction CERM, ISPRA, Italy ","Neophron percnopterus","989014","Bianca","Bianca_989014","F","<1","Y","N","","",NA,NA,NA,NA,NA,NA,"Italy","Tunisia",NA,"verified mortality","found the carcass","probably poisoning","The external examination of the carcass (feathers abraded, neck tensed, beak open) suggested the ingestion of a poison bait, but we were not able to perform lab analysis to contirm poisoning"
50,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","171345","Blanka","Blanka_171345",NA,NA,NA,NA,"8/2/18 6:02","10/20/18 0:02",NA,NA,41.64996719,25.84464073,11.90762043,41.58525085,"Bulgaria","Ethiopia",78.74975694,NA,NA,NA,NA
51,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","149505","Boris","Boris_149505",NA,NA,NA,NA,"7/21/15 4:00","5/31/19 2:00",NA,NA,41.59483,25.64133,41.6195,25.6535,"Bulgaria","Bulgaria",1409.916667,"alive",NA,NA,NA
52,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","171357","Boyana","Boyana_171357",NA,NA,NA,NA,"5/16/18 0:16","5/31/19 3:10",NA,NA,41.59446335,25.64115906,13.18139172,17.19741821,"Bulgaria","Chad",380.1205787,"alive",NA,NA,NA
53,"Egyptian Vulture Reintroduction CERM Italy","Neophron percnopterus","85388","Brandy","Brandy_85388","M","<1","Y","","","",NA,NA,NA,NA,NA,NA,"Italy","Niger",NA,"","","",""
54,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","17111","C39 Blue","C39 Blue_17111",NA,"701","Y","N","16-Apr-17","24-Jul-18",NA,NA,32.55890274,34.93943405,32.55865479,34.93939972,"Israel","Israel",464,"Dead","Found","Hit a train when feeding on a dead boer","Age units are days"
55,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia","Neophron percnopterus","132087","Cabuk","Cabuk_132087",NA,"2nd year","N","N","7/1/14 3:00","2/3/16 6:10",2014-07-05 10:00:00,NA,40.0833,43.6676,10.4471,40.306,"Turkey","Ethiopia",582.1317593,NA,NA,NA,NA
56,"Egyptian Vulture Reintroduction CERM Italy","Neophron percnopterus","HDUC15","Carmen","Carmen_HDUC15","F","<1","Y","","","",NA,NA,NA,NA,NA,NA,"Italy","Mediterranean sea",NA,"","","",""
57,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","135955","Castor","Castor_135955",NA,NA,NA,NA,"5/14/14 11:00","2/16/16 1:00",NA,NA,40.62333,21.51933,6.84033,42.90383,"Greece","Ethiopia",642.5833333,NA,NA,NA,NA
58,"Egyptian vulture in France (grands Causses-Baronnies)","Neophron percnopterus","171075","Causses_2018_Imm_wild_OR171075_4X","Causses_2018_Imm_wild_OR171075_4X_171075",NA,"1","N","Y","4/5/18 12:00","5/31/19 3:34",NA,NA,44.20375443,3.255665064,36.44590378,-5.969079971,"France","Spain",420.6485532,"alive","telemetry data: still moving",NA,"born wild in Gorges de la Dourbie, found weakened in Sept 2017. released in sept 2017, found again. Kept in captivity and rehabilitated the whole winter 2017-2018. released 05/04/2018. recovered again in Dourbie Canyon on 16 May 2018."
59,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","182258","Chuupa","Chuupa_182258",NA,NA,NA,NA,"1/20/19 9:16","5/24/19 7:41",NA,NA,8.856550217,39.91941833,11.15259647,42.3186264,"Ethiopia","Djibouti",123.9343634,"alive",NA,NA,NA
60,"Egyptian Vulture Reintroduction CERM Italy","Neophron percnopterus","989015","Clara","Clara_989015","F","<1","Y","N","","",NA,NA,NA,NA,NA,NA,"Italy","Italy",NA,"verified mortality","found the carcass","illegally shot","XR revealed shot in the carcass"
61,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia","Neophron percnopterus","127589","Djibouti","Djibouti_127589",NA,"4th winter","N","N","4/4/13 22:47","5/4/14 8:00",2013-04-04 04:00:00,NA,11.1891,42.764,10.424,42.231,"Djibouti","Ethiopia",394.3837616,NA,NA,NA,NA
62,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","118150","Dobromir","Dobromir_118150",NA,NA,NA,NA,"8/16/12 18:00","9/25/16 2:00",NA,NA,43.14567,27.63883,14.59233,30.36117,"Bulgaria","Sudan",1500.333333,NA,NA,NA,NA
63,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","135956","Elodie","Elodie_135956",NA,NA,NA,NA,"8/28/16 6:44","9/15/17 6:30",NA,NA,43.1555,26.27962,15.01174,7.6714,"Bulgaria","Niger",382.9901273,NA,NA,NA,NA
64,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","182252","Ertale","Ertale_182252",NA,NA,NA,NA,"1/26/19 9:05","5/31/19 0:31",NA,NA,11.54074192,40.81601715,39.65170288,31.76378822,"Ethiopia","Turkey",124.6428356,"alive",NA,NA,NA
65,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","17113","EV10","EV10_17113",NA,"224","Y","N","15-Jul-17","23-Aug-17",NA,NA,32.4717865,34.98392487,18.09318924,31.21349716,"Israel","Israel",39,"Alive","Seen",NA,"Age units are days, transmitter stopped working, bird seen alive summer 2019"
