study.name,species,tag,id,id.tag,sex,age.at.deployment,captive.raised,rehabilitated,start.date,end.date,start.lat,start.long,end.lat,end.long,start.country,end.country,deployment.duration,fate,how.fate.determined,cause.of.death,comments
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,182263,Lucy,Lucy_182263,,4cal_year,wild,no,24/01/2019 08:32,31/05/2019 02:12,11.87216854,40.87143326,12.4964962,40.9128418,Ethiopia,Ethiopia,126.7358565,alive,NA,NA,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,61952,Macedonia,Macedonia_61952,unknown,juv,wild,no,10/08/2011,17/09/2011,41.18333,21.717103,33.602018,22.39048,North Macedonia,Mediterranean Sea,,dead,inferred from transmissions,drowned,track ends in sea
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,149504,Maria,Maria_149504,unknown,juv,wild,no,11/08/2016 00:44,19/10/2016 02:00,41.6219,25.62263,27.6115,35.71333,Bulgaria,Saudi Arabia,69.05238426,dead,inferred from transmissions,unknown,The bird died on 10.10.2016. Since then transmitter was sending signal from the same location
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,118149,Odiseas,Odiseas_118149,unknown,juv,wild,yes,11/09/2012 14:00,17/09/2012 10:00,41.10467,26.24133,41.09317,26.24183,Greece,Greece,5.833333333,dead,carcass retrieved,exhaustion,Found dead near Dadia; This individual was rescued before tagging; Probable reason of death - bad physical condition
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,171360,Panteley,Panteley_171360,male,2cal_year,captive,no,16/05/2018 00:28,31/05/2019 01:16,41.59446335,25.64143372,41.62717056,23.73114967,Bulgaria,Bulgaria,380.0332407,alive,NA,NA,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,130670,Paschalis,Paschalis_130670,unknown,juv,wild,no,13/08/2013 00:47,03/03/2014 03:00,41.158,25.834,14.21717,9.96533,Greece,Niger,202.0923611,dead,"tag retrieved, asked locals",hunting,Killed by Nigerian hunter on 27.2.2014; exported to be sold in Nigeria
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,171356,Polya,Polya_171356,female,2cal_year,captive,no,16/05/2018 00:14,31/05/2019 01:56,41.59454346,25.64137459,16.46302414,33.92211914,Bulgaria,Sudan,380.0705208,alive,NA,NA,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,182266,Qero,Qero_182266,male,2cal_year,wild,no,22/01/2019 12:00,31/05/2019 01:37,8.905138016,39.77139664,10.79285336,40.67681122,Ethiopia,Ethiopia,128.5670255,alive,NA,NA,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,130673,Red Cliff,Red Cliff_130673,unknown,juv,wild,no,28/08/2013,21/09/2013,40.108776,20.080818,34.986369,21.844228,Albania,Mediterranean Sea,,dead,inferred from transmissions,drowned,track ends in sea
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,149506,Regina,Regina_149506,female,juv,captive,no,26/08/2016,09/09/2016,43.648184,26.059656,32.168295,34.495682,Bulgaria,Mediterranean Sea,,dead,inferred from transmissions,drowned,Track ends in sea. Captive-bred from Vienna Zoo; originates from Turkish population
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,131249,Sanie,Sanie_131249,unknown,juv,wild,no,01/08/2013 02:00,04/10/2016 01:00,41.6415,25.88183,12.91217,40.32033,Bulgaria,Ethiopia,1159.958333,dead,inferred from transmissions,unknown,Since 04.10 the transmitter sending signal from the same location
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,182256,Sharka,Sharka_182256,,2cal_year,captive,no,15/05/2019 01:04,17/05/2019 00:18,41.59423447,25.64156151,41.59989548,25.62248993,Bulgaria,Bulgaria,1.967662037,dead,carcass found,killed by predator,Killed by predator 3 days after the release
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,61952,Spartacus,Spartacus_61952,unknown,juv,wild,no,19/08/2010 04:00,15/01/2011 07:00,41.64117,25.88117,12.459,16.2475,Bulgaria,Chad,149.125,dead,carcass retrieved,shot,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,118152,Svetlina,Svetlina_118152,unknown,juv,wild,no,17/08/2012 10:00,06/09/2014 01:00,41.62283,25.8975,17.91383,38.27433,Bulgaria,Sudan,749.625,dead,inferred from transmissions,unknown,The bird died on 09.06.2014 and since then the transmitter is sending signal from the same location
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,118148,Volen,Volen_118148,unknown,juv,wild,no,16/08/2012 16:00,29/09/2014 02:00,43.18,27.43567,25.584,31.48183,Bulgaria,Egypt,773.4166667,dead,NA,NA,Last locations are from a roosting site in Egypt. No more locations after that. The bird might have died or the transmitter failed
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,182264,Wesal,Wesal_182264,unknown,adult,wild,yes,15/04/2019 06:14,31/05/2019 00:16,30.69724083,35.57994461,37.19264603,39.23261642,Jordan,Turkey,45.75103009,alive,NA,NA,"confiscated by RSCN in Jordan, rehabilitated for >1 year, and released"
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,171349,Zikmund,Zikmund_171349,female,juv,captive,no,10/08/2018 02:49,12/09/2018 00:09,41.63608551,25.85622025,40.86333847,25.90087318,Bulgaria,Greece,32.88900463,dead,recaptured,human imprinting,would have died due to too strong affinity to humans
