species,study.name,population,id,tag,id.tag,start.date,end.date,mortality.date,start.lat,start.long,end.lat,end.long,start.country,end.country,deployment.duration,fate,age.at.deployment.months,sex,migrant,captive.raised,rehabilitated,how.fate.determined,cause.of.death,transmitter.make.model,transmitter.attachment.method,transmitter.mass.grams,transmitter.mass.grams.binned,mean.GPS.dist.last10fixes,mean.GPS.fixrate.last10fixes,start.country.quant,end.country.quant,n.locs,origin,deployment.duration.months,age.at.fate.months,age.at.fate.simple,population.binned,fate.binned,fate.at.annual.stage,comments
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Red Cliff,130673,Red Cliff_130673,8/28/13 15:00,9/21/13,9/21/13 2:00,40.10867,20.08083,36.49417,22.364,Albania,Mediterranean Sea,23.45833333,likely dead,2,unknown,Y,N,N,terminated over water,drowned,Microwave satellite,backpack,45,40-48g,0.876272453,1,Albania,NA,22,N,0,2,juvenile,central & eastern,dead,fall migration,track ends in sea
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Regina,149506,Regina_149506,8/27/16 4:00,9/8/16,9/8/16 2:00,43.64817,26.0595,36.2745,30.43483,Bulgaria,Mediterranean Sea,11.91666667,likely dead,2,F,Y,Y,N,inferred from transmissions,drowned,Microwave satellite,backpack,45,40-48g,1.198748949,1,Bulgaria,NA,13,Y,0,2,juvenile,central & eastern,dead,fall migration,Track ends in sea. Captive-bred from Vienna Zoo; originates from Turkish population
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Sanie,131249,Sanie_131249,8/1/13 2:00,10/3/16,10/3/16 1:00,41.6415,25.88183,13.04167,40.399,Bulgaria,Ethiopia,1158.958333,likely dead,2,unknown,Y,N,N,inferred from transmissions,unknown,Microwave satellite,backpack,45,40-48g,0.469944008,1,Bulgaria,Ethiopia,1149,N,38,40,adult,central & eastern,dead,breeding,Since 04.10 the transmitter sending signal from the same location
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Spartacus,61952,Spartacus_61952,8/19/10 4:00,1/6/11,1/7/11 0:00,41.64117,25.88117,12.46517,16.29233,Bulgaria,Chad,148.0416667,confirmed dead,2,unknown,Y,N,N,carcass found,shot,Microwave satellite,backpack,45,40-48g,0.038273325,1,Bulgaria,Chad,132,N,4,6,juvenile,central & eastern,dead,non-breeding,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Svetlina,118152,Svetlina_118152,8/17/12 10:00,6/8/14,6/9/14 0:00,41.62283,25.8975,15.1975,39.44333,Bulgaria,Sudan,748.625,likely dead,2,unknown,Y,N,N,inferred from transmissions,unknown,Microwave satellite,backpack,45,40-48g,1.116765057,1,Bulgaria,Eritrea,661,N,21,23,adult,central & eastern,dead,spring migration,The bird died on 09.06.2014 and since then the transmitter is sending signal from the same location
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Volen,118148,Volen_118148,8/16/12 16:00,9/28/14,9/28/14 4:00,43.18,27.43567,28.74617,31.9875,Bulgaria,Egypt,772.5,unknown,2,unknown,Y,N,N,unknown,NA,Microwave satellite,backpack,45,40-48g,2.219518674,1,Bulgaria,Egypt,772,N,25,27,adult,central & eastern,unknown,fall migration,Last locations are from a roosting site in Egypt. No more locations after that. The bird might have died or the transmitter failed
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Akaga,171362,Akaga_171362,5/16/18 0:15,10/29/19,10/31/20 0:00,41.59421539,25.64131165,10.29648209,41.05477905,Bulgaria,Ethiopia,531.0727431,confirmed dead,11,unknown,Y,Y,N,transmitter recovered,unknown,Ornitela,backpack,30,30-40g,0.00190893,1.000038194,Bulgaria,Ethiopia,532,Y,17,28,adult,central & eastern,dead,non-breeding,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Anahita,200640,Anahita_200640,8/6/20 11:14,9/14/20,9/15/20 0:00,41.61692047,25.65063286,36.93941116,34.43160629,Bulgaria,Lebanon,84.65621528,confirmed dead,2,unknown,Y,N,N,found alive,Shot,Ornitela,legloop,30,30-40g,1.234120209,0.998258102,Bulgaria,Turkey,39,N,1,3,juvenile,central & eastern,dead,fall migration,The bird was shot in Lebanon but found by our partners there and currently is under rehabilitation
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Andi,182261,Andi_182261,5/15/19 1:04,8/26/20,10/31/20 0:00,41.59440231,25.64131165,14.46278954,27.01890755,Bulgaria,NA,469.1234722,alive,11,M,Y,Y,N,active,NA,Ornitela,backpack,30,30-40g,0.367542291,0.999744213,Bulgaria,Sudan,376,Y,15,26,adult,central & eastern,alive,NA,
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Anna,171348,Anna_171348,8/10/18 0:53,9/14/18,9/15/18 0:01,41.63582993,25.85588837,37.0435791,34.6774826,Bulgaria,Turkey,35.96383102,confirmed dead,2,F,Y,Y,N,resighted / recaptured,exhaustion,Ornitela,backpack,30,30-40g,1.282242571,0.999195602,Bulgaria,Turkey,34,Y,1,3,juvenile,central & eastern,dead,fall migration,"would have died of exhaustion, but recaptured"
