"study.name","species","tag","id","id.tag","sex","age.at.deployment","captive.raised","rehabilitated","start.date","end.date","start.lat","start.long","end.lat","end.long","start.country","end.country","deployment.duration","n.locs","fate","how.fate.determined","cause.of.death","death.or.failure.date","comments"
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",16013,"R0","R0_16013",NA,NA,NA,NA,2016-04-05 02:36:31,2016-10-02 04:08:17,32.558837890625,34.9392166137695,29.4908790588379,33.2136154174805,"Israel","Egypt",180.063726851852,180,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",16012,"R1","R1_16012",NA,NA,NA,NA,2016-04-05 02:40:01,2018-05-05 06:42:22,32.5589752197266,34.9392204284668,14.5695133209229,24.0495777130127,"Israel","Sudan",760.168298611111,639,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",16015,"R2","R2_16015",NA,NA,NA,NA,2016-04-05 02:41:19,2017-12-07 05:14:37,32.5588684082031,34.9392967224121,10.8401212692261,26.8512878417969,"Israel","Sudan",611.106458333333,387,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",16011,"R3","R3_16011",NA,NA,NA,NA,2016-04-05 02:41:01,2016-04-15 02:47:01,32.5609397888184,34.9389610290527,32.5978965759277,35.0148582458496,"Israel","Israel",10.0041666666667,11,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",16014,"R4","R4_16014",NA,NA,NA,NA,2016-04-05 02:40:31,2016-05-26 01:50:49,32.555248260498,34.9339752197266,36.5025444030762,36.5279083251953,"Israel","Turkey",50.9654861111111,52,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",119246,"White 08","White 08_119246",NA,NA,NA,NA,2013-03-15 15:32:00,2013-08-20 05:00:00,32.85542,33.88082,32.75267,35.013,NA,"Israel",157.561111111111,158,"NA","NA",NA,NA,"has a random point in the Med"
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",119245,"White 12","White 12_119245",NA,NA,NA,NA,2013-03-13 13:00:00,2015-09-01 04:00:00,32.75817,35.008,26.67967,34.0385,"Israel","Egypt",901.625,903,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",16126,"X34 Blue","X34 Blue_16126",NA,NA,NA,NA,2017-04-16 03:34:01,2018-08-26 03:29:07,32.5589866638184,34.9392738342285,17.5775241851807,42.2926483154297,"Israel","Saudi Arabia",496.996597222222,497,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",180321,"X86 Blue","X86 Blue_180321",NA,NA,NA,NA,2018-12-24 04:11:04,2019-01-04 04:14:27,32.7521820068359,35.0134582519531,32.697940826416,34.9985466003418,"Israel","Israel",11.002349537037,12,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",119246,"Yellow 04","Yellow 04_119246",NA,NA,NA,NA,2013-11-14 06:00:00,2015-04-30 06:07:16,32.75283,35.0115,32.66925,34.11225,"Israel",NA,532.005046296296,533,"NA","NA",NA,NA,"looks like erroneous points in the Med"
"Egyptian Vulture wild-birds Israel","Neophron percnopterus",180318,"Amud H08 Blue","Amud H08 Blue_180318",NA,NA,NA,NA,2018-08-20 14:46:03,2019-05-31 02:03:21,32.8888969421387,35.4968910217285,32.933177947998,35.5636138916016,"Israel","Israel",283.470347222222,284,"alive","still transmitting",NA,NA,NA
"Egyptian Vulture wild-birds Israel","Neophron percnopterus",180319,"Gamla 2018 H36 Green","Gamla 2018 H36 Green_180319",NA,NA,NA,NA,2018-07-11 13:14:20,2018-11-09 07:24:35,32.8987197875977,35.7655944824219,10.6874866485596,29.2283763885498,"Syrian Arab Republic","Sudan",120.757118055556,72,"NA","NA",NA,NA,NA
"Egyptian Vulture wild-birds Israel","Neophron percnopterus",180322,"Gamla 2018 J4107","Gamla 2018 J4107_180322",NA,NA,NA,NA,2018-07-11 12:04:02,2019-05-31 04:27:12,32.8986129760742,35.7642288208008,15.401481628418,24.9682235717773,"Syrian Arab Republic","Sudan",323.68275462963,303,"alive","still transmitting",NA,NA,NA
"Egyptian Vulture wild-birds Israel","Neophron percnopterus",190588,"Segev-Shalom 2019 I00","Segev-Shalom 2019 I00_190588",NA,NA,NA,NA,2019-04-18 07:40:23,2019-04-27 03:03:15,30.7135601043701,35.4150581359863,30.2219161987305,42.4998474121094,"Jordan","Saudi Arabia",8.8075462962963,10,"NA","NA",NA,NA,NA
"Egyptian Vulture wild-birds Israel","Neophron percnopterus",171405,"Tlalim C48 Blue","Tlalim C48 Blue_171405",NA,NA,NA,NA,2019-03-18 11:30:51,2019-05-31 02:11:05,30.821870803833,34.8367500305176,31.0106525421143,34.880256652832,"Israel","Israel",73.6112731481481,75,"alive","still transmitting",NA,NA,NA
"Egyptian vultures Dagestan2","Neophron percnopterus",114,"Gurman","Gurman_114",NA,NA,NA,NA,2017-07-24 12:12:00,2018-11-05 03:13:00,43.00113,47.20156,13.63651,43.82801,"Russia","Yemen",468.625694444444,450,"NA","NA",NA,NA,NA
"Egyptian vultures Dagestan2","Neophron percnopterus",115,"Kapchug","Kapchug_115",NA,NA,NA,NA,2017-07-23 10:37:00,2017-09-26 04:27:00,42.98421,47.18025,38.94358,48.07419,"Russia","Iran (Islamic Republic of)",64.7430555555556,32,"NA","NA",NA,NA,NA
"Egyptian vultures Dagestan2","Neophron percnopterus",116,"Malysh","Malysh_116",NA,NA,NA,NA,2017-07-23 08:18:00,2017-10-23 05:04:00,42.98465,47.18038,21.25244,40.69915,"Russia","Saudi Arabia",91.8652777777778,70,"NA","NA",NA,NA,NA
"Egyptian vultures Dagestan2","Neophron percnopterus",117,"Sarygush","Sarygush_117",NA,NA,NA,NA,2017-07-23 08:18:00,2017-10-03 12:50:00,42.98449,47.18051,34.69149,44.03065,"Russia","Iraq",72.1888888888889,48,"NA","NA",NA,NA,"possible mortality or dropped tx?"
"Egyptian vultures in Djibouti","Neophron percnopterus",127589,"127589","127589_127589",NA,NA,NA,NA,2013-03-11 05:56:36,2014-02-01 01:41:35,11.7859,42.8239,12.1023,43.2168,"Djibouti","Djibouti",326.822905092593,253,"NA","NA",NA,NA,NA
"ISPRA","Neophron percnopterus",NA,"AF5AF11F","AF5AF11F_NA",NA,NA,NA,NA,2018-08-16 08:59:07,2018-09-13 05:00:08,40.6451833,16.66185,34.5325767,9.9806167,"Italy","Tunisia",27.8340393518519,25,"NA","NA",NA,NA,NA
"ISPRA","Neophron percnopterus",NA,"B05AF11F","B05AF11F_NA",NA,NA,NA,NA,2018-08-16 09:30:07,2018-09-09 05:00:09,40.64519,16.6618667,37.7986367,13.0746333,"Italy","Italy",23.8125231481481,25,"NA","NA",NA,NA,NA
"LIFE_Rupis_EgyptianVultures","Neophron percnopterus",48505470927,"NeoPer_Bruco","NeoPer_Bruco_48505470927",NA,NA,NA,NA,2017-07-20 06:00:00,2018-01-05 06:00:00,41.195016,-6.680866,13.897333,-9.689583,"Spain","Mali",169,165,"NA","NA",NA,NA,NA
"LIFE_Rupis_EgyptianVultures","Neophron percnopterus",48797733050,"NeoPer_Douro","NeoPer_Douro_48797733050",NA,NA,NA,NA,2017-06-13 06:00:00,2019-05-15 09:28:00,40.9598,-6.833833,40.3603,-6.044333,"Spain","Spain",701.144444444444,690,"alive","still transmitting",NA,NA,NA
"LIFE_Rupis_EgyptianVultures","Neophron percnopterus",48505476460,"NeoPer_Faia","NeoPer_Faia_48505476460",NA,NA,NA,NA,2017-06-13 08:00:00,2019-05-30 06:00:00,40.926366,-6.943999,40.947616,-6.632316,"Portugal","Spain",715.916666666667,717,"alive","still transmitting",NA,NA,NA
"LIFE_Rupis_EgyptianVultures","Neophron percnopterus",48797733001,"NeoPer_Poiares","NeoPer_Poiares_48797733001",NA,NA,NA,NA,2017-06-01 12:34:00,2018-04-05 03:32:00,40.898099,-6.9674,41.044966,-6.81915,"Portugal","Spain",307.623611111111,172,"NA","NA",NA,NA,"errant last point? has a straight shot back from Africa to Spain"
"LIFE_Rupis_EgyptianVultures","Neophron percnopterus",48511694900,"NeoPer_Rupis","NeoPer_Rupis_48511694900",NA,NA,NA,NA,2016-07-15 06:00:00,2019-05-31 05:59:00,41.477116,-6.270032,41.447499,-6.339133,"Spain","Spain",1049.99930555556,1005,"alive","still transmitting",NA,NA,NA
"McGrady.Meyburg","Neophron percnopterus",1,"1","1_1",NA,NA,NA,NA,2018-01-22 09:00:00,2018-09-13 08:00:00,23.23667,58.42733,23.06783,58.27083,"Oman","Oman",233.958333333333,64,"NA","NA",NA,NA,NA
"McGrady.Meyburg","Neophron percnopterus",2,"139","139_2",NA,NA,NA,NA,2018-01-23 12:24:00,2018-12-13 06:38:00,23.522387,58.445302,23.339587,58.458533,"Oman","Oman",323.759722222222,297,"NA","NA",NA,NA,NA
"McGrady.Meyburg","Neophron percnopterus",3,"143580","143580_3",NA,NA,NA,NA,2015-01-09 09:57:30,2015-12-13 01:59:15,23.3449,58.4553,23.3765,58.6502,"Oman","Oman",337.667881944444,331,"NA","NA",NA,NA,NA
"McGrady.Meyburg","Neophron percnopterus",4,"143581","143581_4",NA,NA,NA,NA,2015-01-10 07:11:48,2015-02-04 02:34:35,23.3448,58.455,22.6999,58.5501,"Oman","Oman",24.8074884259259,26,"NA","NA",NA,NA,NA
"McGrady.Meyburg","Neophron percnopterus",5,"171325","171325_5",NA,NA,NA,NA,2018-01-15 00:14:32,2019-05-31 01:22:03,23.358963,58.591347,23.458584,58.623455,"Oman","Oman",501.046886574074,319,"alive","still transmitting",NA,NA,NA
"McGrady.Meyburg","Neophron percnopterus",6,"171326","171326_6",NA,NA,NA,NA,2018-01-22 00:24:30,2019-05-31 00:02:05,23.377052,58.313049,23.411156,58.271946,"Oman","Oman",493.98443287037,466,"alive","still transmitting",NA,NA,NA
