Population,Origin,Season,age,surv,lcl,ucl
western Europe,wild,north of 25°N,37,0.990843773570784,0.983227042993629,0.995262088240238
western Europe,captive,north of 25°N,37,0.987995704028935,0.973924778001609,0.994670375081144
central and east,wild,south of 25°N,37,0.990809112364675,0.983039398423381,0.995344186074684
central and east,captive,south of 25°N,37,0.987953130876441,0.977012383696837,0.993890550343948
western Europe,wild,south of 25°N,37,0.995297502505382,0.990188873285442,0.99795819767489
western Europe,captive,south of 25°N,37,0.993819367724645,0.985098357453619,0.997635183065256
central and east,wild,migration,37,0.96062855073786,0.932950845946233,0.977917274188937
central and east,captive,migration,37,0.949183453684274,0.908422847416625,0.971861193604173
western Europe,wild,migration,37,0.979602032332845,0.959244410002839,0.990356737149591
western Europe,captive,migration,37,0.973360533066903,0.93714439428342,0.989042853657551
central and east,wild,north of 25°N,40,0.983747055478454,0.973631524096569,0.99018618916902
central and east,captive,north of 25°N,40,0.978856543392855,0.963958417353205,0.987086709765691
western Europe,wild,north of 25°N,40,0.991634553070863,0.984537616829168,0.995712940350455
western Europe,captive,north of 25°N,40,0.989042103908015,0.976087925641986,0.995158373577033
central and east,wild,south of 25°N,40,0.991598541095322,0.984482076239049,0.995737940368247
central and east,captive,south of 25°N,40,0.98899892526745,0.979007618504386,0.994407307927203
western Europe,wild,south of 25°N,40,0.995701577752897,0.991050174338323,0.998135259492219
western Europe,captive,south of 25°N,40,0.994349266816039,0.986358504168599,0.997844159590611
central and east,wild,migration,40,0.963930543300717,0.937797234933894,0.980075152925977
central and east,captive,migration,40,0.953338665173114,0.91486624113854,0.974477551228868
western Europe,wild,migration,40,0.981361824214846,0.962456611538707,0.991244597535536
western Europe,captive,migration,40,0.975609298258848,0.942114916776353,0.990062719693987
central and east,wild,north of 25°N,43,0.985106693794135,0.97553737751911,0.991186177934443
central and east,captive,north of 25°N,43,0.980643175943504,0.966590573915703,0.98839585479147
western Europe,wild,north of 25°N,43,0.99235588527219,0.985709157399318,0.996128204626424
western Europe,captive,north of 25°N,43,0.989989205188331,0.977984513397656,0.995645581242103
central and east,wild,south of 25°N,43,0.992331417911477,0.985774307460957,0.996105103872952
central and east,captive,south of 25°N,43,0.989946814176913,0.980696835308814,0.994912426491738
western Europe,wild,south of 25°N,43,0.99607534931668,0.991844951696733,0.998294028567271
western Europe,captive,south of 25°N,43,0.994839495169232,0.9876037616548,0.998026368773544
central and east,wild,migration,43,0.967014519421942,0.942051103494956,0.981980330464692
central and east,captive,migration,43,0.957229927610522,0.920760387998767,0.97697744944523
western Europe,wild,migration,43,0.982942096859388,0.965461467530526,0.992078104184383
western Europe,captive,migration,43,0.977661850964483,0.946541819395271,0.991016968004548
central and east,wild,north of 25°N,46,0.986374007802611,0.977335772905339,0.992079417699383
central and east,captive,north of 25°N,46,0.982296733323671,0.968914125212483,0.989602096074239
western Europe,wild,north of 25°N,46,0.993016359789013,0.986834555422467,0.996510849692723
western Europe,captive,north of 25°N,46,0.990853804830192,0.979580953170327,0.996056561390967
central and east,wild,south of 25°N,46,0.992988440332527,0.986970421412862,0.996452094293335
central and east,captive,south of 25°N,46,0.990821611811708,0.982290556866211,0.995364352113539
western Europe,wild,south of 25°N,46,0.996415776946851,0.992568128699092,0.998441941703046
western Europe,captive,south of 25°N,46,0.995283973022643,0.988656484616597,0.998203562241773
central and east,wild,migration,46,0.969739418846567,0.946335878085864,0.983796353693565
central and east,captive,migration,46,0.960747447638909,0.926464441243427,0.979291620001966
western Europe,wild,migration,46,0.984400831476703,0.968076691192051,0.992875296551243
western Europe,captive,migration,46,0.979549107677552,0.950633654488759,0.991854792640713
central and east,wild,north of 25°N,49,0.987540386654844,0.979013507159597,0.992912612482194
central and east,captive,north of 25°N,49,0.983819769869572,0.971116890247507,0.990656088450354
western Europe,wild,north of 25°N,49,0.993617174023756,0.987838045281412,0.996855799785475
western Europe,captive,north of 25°N,49,0.9916502223353,0.981141558907995,0.996450196015619
central and east,wild,south of 25°N,49,0.993610408121374,0.988043908152238,0.99677700892724
