"id.tag","species","study.name","id","tag","start.date","end.date","start.lat","start.long","end.lat","end.long","mean.GPS.dist.last10fixes","mean.GPS.fixrate.last10fixes","mean.battery.charge.percent.last10fixes","deployment.duration","fate","age.at.deployment","sex","captive.raised","rehabilitated","how.fate.determined","cause.of.death","death.or.failure.date","comments","start.country","end.country","n.locs","start.date.adjusted","end.date.adjusted"
"Orada_48500703778","Neophron percnopterus","Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Orada","48500703778","2015-07-21 12:08:00","2017-02-10 00:00:00","39.511333","46.398683","9.370999","40.442116","0.0869091711166183","1.00006944444444",NA,"569.494444444444",NA,"2nd Year",NA,"N","N",NA,NA,NA,NA,"Armenia","Ethiopia","571","2014-07-05 06:00:00",NA
"Serhat_10007","Neophron percnopterus","Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Serhat","10007","2014-06-17 15:59:00","2014-10-30 01:12:00","40.19459","43.63137","10.5359","40.455","0.233944036035575","0.919791666666667",NA,"134.384027777778",NA,"5th Year",NA,"N","N",NA,NA,NA,NA,"Turkey","Ethiopia","124","2014-06-20 00:00:00",NA
"Tuzluca_209","Neophron percnopterus","Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Tuzluca","209","2013-06-22 01:14:53","2016-10-05 00:29:35","40.081","43.66704","19.86006","41.10614","1.78632602174632","0.999340277777778",NA,"1200.96854166667",NA,"Adult (5+ years)",NA,"N","N",NA,NA,NA,NA,"Turkey","Saudi Arabia","1193","2013-06-23 06:00:00",NA
"Baronnies_2019_Imm_wild_OR181635_5T_181635","Neophron percnopterus","Egyptian vulture in France (grands Causses-Baronnies)","Baronnies_2019_Imm_wild_OR181635_5T","181635","2019-04-01 17:25:34","2019-05-30 03:36:23","44.434383392334","5.32294511795044","43.8571624755859","5.93290662765503","0.193764003260918","0.997450231481481","74.2","58.4241782407407","alive","1",NA,"N","Y","telemetry data: still moving",NA,NA,"born wild, found weakened in Baronnies in autumn 2018. kept in rehabilitation whole winter. released in Baronnies in April 2019","France","France","60",NA,NA
"Causses_2018_Imm_wild_OR171075_4X_171075","Neophron percnopterus","Egyptian vulture in France (grands Causses-Baronnies)","Causses_2018_Imm_wild_OR171075_4X","171075","2018-04-05 12:00:05","2019-05-30 03:33:05","44.2037544250488","3.25566506385803","36.4334030151367","-5.97423315048218","0.0655235712664873","1.00068865740741","67.6","419.647916666667","alive","1",NA,"N","Y","telemetry data: still moving",NA,NA,"born wild in Gorges de la Dourbie, found weakened in Sept 2017. released in sept 2017, found again. Kept in captivity and rehabilitated the whole winter 2017-2018. released 05/04/2018. recovered again in Dourbie Canyon on 16 May 2018.","France","Spain","421",NA,NA
"Gardon_2016_Ad_wild_MW707 _707","Neophron percnopterus","Egyptian vulture Kobierzycki Gardon ","Gardon_2016_Ad_wild_MW707 ","707","2016-03-29 06:46:53","2019-05-30 01:16:16","44.2314","4.41436","44.37482","4.43738","0.00246866413515211","1.09619907407407",NA,"1156.77040509259","alive","7",NA,"N","N","telemetry data: still moving",NA,NA,"adult captured at breeding site in Gardon. born in 2009 in Herault and ringed in 2009.","France","France","925",NA,NA
"Ossau_2018_Ad_wild_OR17996_PC0_17996","Neophron percnopterus","Egyptian vulture Kobierzycki Pyrenees","Ossau_2018_Ad_wild_OR17996_PC0","17996","2018-04-21 03:44:05","2019-05-30 05:59:22","43.0697326660156","-0.415683329105377","43.0693664550781","-0.424849987030029","0.00585257136569465","0.990020833333333","48.9","404.093946759259","alive","adult",NA,"N","N","telemetry data: still moving",NA,NA,"Adult caught in Ossau (Castet) 21/04/2018. age unknown","France","France","307",NA,NA
"Pyrenees_2015_Imm_wild_EC48601087785_48601087785","Neophron percnopterus","Egyptian vulture Kobierzycki Pyrenees","Pyrenees_2015_Imm_wild_EC48601087785","48601087785","2015-06-29 00:00:00","2016-10-28 00:01:00","43.408666","-1.508783","15.982617","-15.830933","0.546455328131574","1",NA,"487.000694444444","unknown","1",NA,"N","Y",NA,NA,NA,"born wild, found weakened in Western Pyrenees in autumn 2014. kept in rehabilitation whole winter. released in Western Pyrenees in 29/06/2015. last position in Senegal: possible death or transmitter failure","France","Senegal","404",NA,NA
"Provence_2016_Ad_wild_EO5018_Salomé_8P_5018","Neophron percnopterus","Egyptian vulture Kobierzycki Vaucluse","Provence_2016_Ad_wild_EO5018_Salome_8P","5018","2016-09-30 08:32:50","2019-05-29 06:02:34","43.8350705","5.3740319","43.6599439","5.0051528","0.0204154879169563","0.994827546296296",NA,"970.895648148148","alive",NA,NA,NA,NA,"still transmitting",NA,NA,"errant last point? has a straight shot from Africa back to France","France","France","835",NA,NA
"00 White 2013_3515","Neophron percnopterus","Egyptian Vulture Reintroduction Israel","00 White 2013","3515","2014-04-04 05:00:23","2019-05-30 05:10:47","32.752136","35.0134302","34.4206595","38.2444062","0.394036007518616","0.999320601851852",NA,"1882.00722222222","Alive","312",NA,"Y","N",NA,NA,NA,"Age units are days","Israel","Syrian Arab Republic","1764",NA,NA
