species,study.name,id,tag,id.tag,fate,how.fate.determined.clean,how.fate.determined,comments,sex,age.at.deployment,captive.raised,rehabilitated,n.locs,start.date,end.date,start.lat,start.long,end.lat,end.long,deployment.duration,cause.of.death,start.country,end.country,age.at.deployment.month,mean.GPS.dist.last10fixes,mean.GPS.fixrate.last10fixes,mean.battery.charge.percent.last10fixes
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,Boris,149505,Boris_149505,alive,active,still transmitting,NA,M,ad,N,N,1410,7/21/15 4:00,5/30/19 4:00,41.59483,25.64133,41.61667,25.65183,1409,NA,Bulgaria,Bulgaria,54,0.015276484,1,NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",Iste,132086,Iste_132086,alive,active,still transmitting,NA,unknown,ad,N,N,1747,6/10/14 2:36,5/30/19 4:00,40.0831,43.6674,39.8344,42.5493,1815.05838,NA,Turkey,Turkey,54,0.017268982,1.298402778,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Picket Post,171646,Picket Post_171646,alive,active,still transmitting,NA,unknown,ad,N,N,247,9/17/18 0:00,5/30/19 3:00,33.28333,-111.1445,33.3095,-111.06483,255.125,NA,United States,United States,54,0.014257047,1.429166667,NA
Neophron percnopterus,Egyptian Vulture wild-birds Israel,Tlalim C48 Blue,171405,Tlalim C48 Blue_171405,alive,active,still transmitting,"Found (probably) posioned, treated for a week at the Is Israel Wildlife Hospital and released.",unknown,ad,N,Y,74,3/18/19 11:30,5/30/19 2:11,30.8218708,34.83675003,31.01068306,34.88015747,72.61133102,NA,Israel,Israel,54,0.000862063,0.999690972,100
Neophron percnopterus,Egyptian Vulture wild-birds Israel,Amud H08 Blue,180318,Amud H08 Blue_180318,alive,active,still transmitting,"Found not flying, treated for a week at the Is Israel Wildlife Hospital and released. Migrated 2018 and returned to the same area in 2019, seen in a nest with two chicks.",unknown,ad,N,Y,284,8/20/18 14:46,5/30/19 2:03,32.88889694,35.49689102,32.9209938,35.5478096,282.4706944,NA,Israel,Israel,54,0.058568203,0.983549769,90.4
Neophron percnopterus,Omanvulture,171318,171318,171318_171318,alive,active,still transmitting,NA,unknown,ad,N,N,496,1/20/18 9:48,5/30/19 1:47,23.33926582,58.4492836,27.21995735,56.18041611,494.6662847,NA,Oman,Iran (Islamic Republic of),54,0.017430168,1.001390046,77.7
Neophron percnopterus,Omanvulture,16095,16095,16095_16095,alive,active,still transmitting,NA,unknown,ad,N,N,496,1/19/18 10:49,5/30/19 1:23,23.33503151,58.45743179,23.30084038,58.6533699,495.6069329,NA,Oman,Oman,54,0.007177608,0.981116898,75.5
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Early_Bird,144305,Early_Bird_144305,alive,active,still transmitting,NA,M,ad,N,N,1097,5/20/16 15:13,5/30/19 1:15,33.4276,-112.697,33.0984,-112.9884,1104.418218,NA,United States,United States,54,0.014989703,0.993716435,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,Ardi,182265,Ardi_182265,alive,active,still transmitting,NA,unknown,ad,N,N,127,1/24/19 14:29,5/30/19 1:13,11.79798126,41.05654526,20.23863792,43.19859695,125.4472569,NA,Ethiopia,Saudi Arabia,54,0.00037943,0.999767361,100
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Calm_Lady,144304,Calm_Lady_144304,alive,active,still transmitting,NA,M,ad,N,N,1097,5/19/16 13:54,5/30/19 0:45,33.4278,-112.6963,33.7384,-113.1779,1105.45213,NA,United States,United States,54,0.135835777,0.99558912,NA
