species,study.name,population,population.binned,migrant,id,start.date,end.date,mortality.date,age.at.deployment.month,deployment.duration,deployment.duartion.month,age.at.fate.month,age.at.fate,age.at.fate.simple,tag,id.tag,start.country,end.country,fate.old,fate.annual.stage,fate.final,fate.final.binned,how.fate.determined.clean,cause.of.death,cause.of.death.simple,death.anthro,sex,age.at.deployment,age.at.deployment.clean,origin,rehabilitated,n.locs,start.lat,start.long,end.lat,end.long,data.owner.proofed,how.fate.determined,comments,lat.mort,long.mort
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Arda,8/13/12 0:41,3/5/13 2:00,1/1/13 0:00,2,204.0548611,6.801828703,8.801828703,juvenile,juvenile,118147,Arda_118147,Bulgaria,Sudan,likely dead,non-breed.,likely dead,dead,inferred from transmissions,unknown,NA,NA,unknown,juv,juvenile,wild,N,156,41.644,25.878,10.79567,28.50933,y,static transmissions,The bird died on 29.12.2012. Since then it is transmitting from the same location,10.79567,28.50917
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Maria,8/7/16 7:27,10/18/16 2:00,10/8/16 0:00,2,71.77260417,2.392420139,4.392420139,juvenile,juvenile,149504,Maria_149504,Bulgaria,Saudi Arabia,likely dead,fall mig.,likely dead,dead,inferred from transmissions,unknown,NA,NA,unknown,juv,juvenile,wild,N,62,41.75681,25.36315,27.6115,35.71333,y,static transmission for >10 days,The bird died on 10.10.2016. Since then transmitter was sending signal from the same location,31.117,36.889
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Levkipos,8/7/12 16:00,6/19/15 2:00,2/1/15 0:00,2,1045.416667,34.84722223,36.84722223,immature,adult,118146,Levkipos_118146,Greece,Sudan,likely dead,non-breed.,likely transmitter failure,unknown,inferred from transmissions,unknown,NA,NA,unknown,juv,juvenile,wild,N,1009,41.089,26.13933,10.86567,26.57283,y,static transmissions for months,The bird died on 26.01.2015. Since then transmitter was sending signal from the same location,10.86567,26.57283
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Ibrahim,8/2/13 14:00,9/25/13 4:00,9/25/13 4:00,2,53.58333333,1.786111111,3.786111111,juvenile,juvenile,131248,Ibrahim_131248,Bulgaria,NA,likely dead,fall mig.,likely transmitter failure,unknown,inferred from transmissions,unknown,NA,NA,unknown,juv,juvenile,wild,N,42,41.618,25.6495,34.99567,25.18817,y,ceased near sea,Not clear if the bird really died or the transmitter failed. ,34.99567,25.18817
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Volen,8/16/12 16:00,9/28/14 4:00,9/28/14 4:00,2,772.5,25.75,27.75,immature,adult,118148,Volen_118148,Bulgaria,Egypt,unknown,fall mig.,unknown,unknown,unknown,NA,NA,NA,unknown,juv,juvenile,wild,N,773,43.18,27.43567,28.74617,31.9875,y,unknown,Last locations are from a roosting site in Egypt. No more locations after that. The bird might have died or the transmitter failed,28.74617,31.9875
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Dobromir,8/16/12 18:00,9/24/16 2:00,9/24/16 2:00,2,1499.333333,49.97777777,51.97777777,immature,adult,118150,Dobromir_118150,Bulgaria,Sudan,unknown,fall mig.,unknown,unknown,unknown,NA,NA,NA,unknown,juv,juvenile,wild,N,1492,43.14567,27.63883,14.50783,30.302,y,unknown,probably killed but no evidence could be obtained. Last locations from inside a village,14.50783,30.302
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Castor,5/14/14 11:00,2/15/16 1:00,2/15/16 1:00,54,641.5833333,21.38611111,75.38611111,adult,adult,135955,Castor_135955,Greece,Ethiopia,unknown,non-breed.,unknown,unknown,unknown,NA,NA,NA,unknown,ad,adult,wild,Y,643,40.62333,21.51933,6.76017,42.83233,y,unknown,tagged after found disorientated due to lead poisoning,6.76017,42.83233
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Sanie,8/1/13 2:00,10/3/16 1:00,10/3/16 1:00,2,1158.958333,38.63194443,40.63194443,immature,adult,131249,Sanie_131249,Bulgaria,Ethiopia,unknown,non-breed.,unknown,unknown,unknown,NA,NA,NA,unknown,juv,juvenile,wild,N,1152,41.6415,25.88183,13.04167,40.399,y,unknown,Since 04.10 the transmitter sending signal from the same location,13.04167,40.399
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Paschalis,8/13/13 0:47,3/2/14 3:00,2/15/14 0:00,2,201.0923611,6.703078703,8.703078703,juvenile,juvenile,130670,Paschalis_130670,Greece,Niger,confirmed dead,non-breed.,confirmed dead,dead,transmitter recovered,hunting,persecuted,y,unknown,juv,juvenile,wild,N,197,41.158,25.834,14.21717,9.96533,y,"tag retrieved, asked locals",Killed by Nigerian hunter on 27.2.2014; exported to be sold in Nigeria,14.44867,10.169
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Spartacus,8/19/10 4:00,1/14/11 5:00,1/7/11 0:00,2,148.0416667,4.934722223,6.934722223,juvenile,juvenile,61952,Spartacus_61952,Bulgaria,Chad,confirmed dead,non-breed.,confirmed dead,dead,carcass found,shot,persecuted,y,unknown,juv,juvenile,wild,N,140,41.64117,25.88117,12.459,16.24717,y,carcass retrieved,NA,12.46517,16.29233
