species,study.name,population,id,tag,id.tag,fate,fate.final,how.fate.determined.clean,cause.of.death,start.date,end.date,mortality.date,migrant,start.country,end.country,sex,age.at.deployment,age.at.deployment.clean,age.at.deployment.month,captive.raised,rehabilitated,n.locs,start.lat,end.lat,start.long,end.long,deployment.duration,data.owner.proofed,mean.GPS.dist.last10fixes.degrees,mean.GPS.dist.last10fixes.meters,mean.GPS.fixrate.last10fixes.days,mean.battery.charge.percent.last10fixes,how.fate.determined,comments
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A17 Green,17113,A17 Green_17113,confirmed dead,confirmed dead,transmitter recovered,Hit a train when feeding on a dead boer,4/16/17 0:05,07/04/2017 00:06,07/04/2017 00:06,NA,Israel,Israel,unknown,663,immature,23,Y,N,80,32.55931854,32.5566864,34.93855286,34.93691635,79.00068287,y,0.010247,1138.710391,1.000002315,100,Found,Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A25 Green,171087,A25 Green_171087,unknown,unknown,unknown,NA,12/13/17 0:05,4/22/18 2:37,4/22/18 2:37,NA,Israel,Israel,unknown,582,immature,21,Y,N,131,32.75230026,32.75218964,35.01338959,35.0135231,130.1057292,y,0.071663,7963.758863,0.998981481,99.5,"Last location very hostile, no data for a long period",Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A26 Green,171080,A26 Green_171080,alive,alive,active,NA,12/13/17 4:06,5/30/19 2:17,5/30/19 2:17,Y,Israel,Egypt,unknown,208,juv,7,Y,N,356,32.75217819,29.94383049,35.01340485,33.7244606,532.9246412,y,1.60466,178322.6516,0.996923611,91.6,still transmitting,Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A46 Green,17112,A46 Green_17112,confirmed dead,confirmed dead,transmitter recovered,Electrocuted,4/16/17 0:05,05/11/2018 01:40,05/11/2018 01:40,Y,Israel,Turkey,unknown,691,immature,24,Y,N,391,32.55895233,37.73614502,34.93920135,41.33025742,390.0661458,y,0.477057,53014.44197,0.998398148,97.1,Found,Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A47 Green,171082,A47 Green_171082,unknown,unknown,unknown,NA,12/13/17 4:05,8/24/18 2:32,8/24/18 2:32,Y,Israel,Yemen,unknown,182,juv,7,Y,N,255,32.7522583,13.0051918,35.01337051,43.67879105,253.9352546,y,1.230514,136744.5723,1.000892361,99.7,"Stopped transmitting on route to a potential no-GSM cover area, did not return after first migration, might return next year",Age units are days
Cathartes aura,Vulture Movements,north america - eastern,ACT_TV,111943,ACT_TV_111943,confirmed dead,confirmed dead,carcass found,unknown,11/15/12 15:00,05/05/2013 00:00,NA,N,United States,United States,F,3rd yr,adult,29,N,N,169,30.49917,30.93067,-86.53017,-86.67983,170.375,y,0.00031,34.431788,1,NA,transmitter recovered from dead bird,contacted owner of property to recover where last location was
Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Agata,119157,Agata_119157,confirmed dead,confirmed dead,terminated over water,Drop in the sea,8/26/15 8:00,09/04/2015 08:00,8/30/15 0:00,NA,Italy,Italy,F,juv,juvenile,3,Y,N,10,37.39733,36.8275,13.36967,13.1485,9,y,0.35186,39101.52786,1.002444444,NA,stopped at sea,NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Agri,130662,Agri_130662,unknown,likely transmitter failure,unknown,NA,6/22/13 1:00,7/19/14 14:00,7/19/14 14:00,Y,Turkey,Turkey,unknown,ad,adult,54,N,N,324,40.08083,39.7845,43.667,43.24833,392.5416667,y,0.02539,2821.57437,3.523266204,NA,unknown,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,north america - western,Airy,163484,Airy_163484,unknown,unknown,unknown,unknown,06/06/2018 02:00,08/05/2018 00:00,NA,N,United States,United States,unknown,ad,adult,54,N,N,57,47.00317,47.34883,-124.143,-124.28433,59.91666667,y,0.086295,9589.778314,0.995833333,NA,transmisson from same location over a period of time,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Akaga,171362,Akaga_171362,alive,alive,active,NA,5/16/18 0:15,5/30/19 6:19,5/30/19 6:19,Y,Bulgaria,Ethiopia,unknown,2nd yr,immature,11,Y,N,380,41.59421539,12.42877293,25.64131165,40.21025467,379.2530556,y,0.243611,27071.96954,1.015836806,99.1,still transmitting,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,horn of africa,Alimerah,182254,Alimerah_182254,alive,alive,active,NA,1/25/19 7:55,5/30/19 1:33,5/30/19 1:33,N,Ethiopia,Ethiopia,unknown,2nd yr,immature,7,N,N,126,11.67359829,11.78143692,40.97370148,41.03799057,124.7345833,y,0.052353,5817.843733,0.999767361,100,still transmitting,"tagged in Horn of Africa. Population determination based on where they migrated to. For birds that did not migrate, left as HoA"
Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,Amud H08 Blue,180318,Amud H08 Blue_180318,alive,alive,active,NA,8/20/18 14:46,5/30/19 2:03,5/30/19 2:03,Y,Israel,Israel,unknown,ad,adult,54,N,Y,284,32.88889694,32.9209938,35.49689102,35.5478096,282.4706944,y,0.058568,6508.567263,0.983549769,90.4,still transmitting,"Found not flying, treated for a week at the Is Israel Wildlife Hospital and released. Migrated 2018 and returned to the same area in 2019, seen in a nest with two chicks."
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Andi,182261,Andi_182261,alive,alive,active,NA,5/15/19 1:04,5/30/19 0:05,5/30/19 0:05,NA,Bulgaria,Bulgaria,M,2nd yr,immature,11,Y,N,16,41.59440231,41.5983963,25.64131165,25.63884735,14.95892361,y,0.000242,26.852081,1.00002662,81.4,"still transmitting, very few relocations on this tx",NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,north america - western,Andres,136414,Andres_136414,alive,alive,active,NA,5/15/14 23:00,5/30/19 0:00,NA,Y,United States,United States,F,ad,adult,54,N,N,1840,33.38967,33.258,-112.68083,-112.2695,1840.041667,y,0.29421,32695.01133,1,NA,still transmitting,NA
Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Aneta,48500502206,Aneta_48500502206,confirmed dead,confirmed dead,terminated over water,Drop in the sea,09/07/2015 00:01,10/03/2015 00:00,9/24/15 0:00,Y,Italy,Egypt,F,juv,juvenile,3,Y,N,27,39.10625,33.028566,16.891933,21.455933,25.99930556,y,0.832991,92568.65241,1.000208333,NA,stopped at sea,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Anna,171348,Anna_171348,confirmed dead,confirmed dead,resighted / recaptured,exhaustion,08/10/2018 00:53,9/15/18 0:01,9/15/18 0:01,Y,Bulgaria,Turkey,F,juv,juvenile,2,Y,N,35,41.63582993,37.2335434,25.85588837,34.84251404,35.96383102,y,1.281916,142456.8154,0.999230324,87.3,recaptured,"would have died of exhaustion, but recaptured"
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Aoos,118154,Aoos_118154,alive,alive,active,NA,4/17/15 17:00,5/27/19 8:17,5/27/19 8:17,Y,Albania,Albania,F,ad,adult,54,N,N,1159,40.13267,40.13586,20.54217,20.5388,1500.637303,y,0.253558,28177.3902,2.04171875,NA,still transmitting,"tagged in Greece, but bred in Albania"
Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Apollo,16093,Apollo_16093,unknown,unknown,unknown,NA,7/24/17 23:09,9/27/17 4:48,9/27/17 4:48,Y,Italy,Algeria,M,juv,juvenile,15,Y,N,61,40.24658966,34.45599747,16.10240936,9.631937027,64.23530093,y,0.485605,53964.31289,1.001194444,79,"transmission ceased abruptly while bird was moving. However, might also be a captured bird as signal was lost in an area with low reception (boarder area Algeria / Mali).",NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Aras,118176,Aras_118176,unknown,unknown,unknown,NA,8/18/12 13:00,02/04/2013 01:00,02/04/2013 01:00,Y,Turkey,Ethiopia,unknown,3rd yr,immature,26,N,N,164,40.12183,10.1725,43.5835,40.24533,169.5,y,0.067342,7483.596,1,NA,unknown,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Arda,118147,Arda_118147,likely dead,likely dead,inferred from transmissions,unknown,8/13/12 0:41,03/05/2013 02:00,01/01/2013 00:00,Y,Bulgaria,Sudan,unknown,juv,juvenile,2,N,N,156,41.644,10.79567,25.878,28.50933,204.0548611,y,0.220703,24526.25854,5.4,NA,static transmissions,The bird died on 29.12.2012. Since then it is transmitting from the same location
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Ardahan,210,Ardahan_210,unknown,unknown,unknown,NA,6/22/13 1:14,9/17/14 0:27,9/17/14 0:27,Y,Turkey,Saudi Arabia,unknown,ad,adult,54,N,N,451,40.07148,16.81774,43.66676,42.84321,451.9668403,y,2.31584,257354.7034,1.036113426,NA,unknown,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,unknown,Ardi,182265,Ardi_182265,likely dead,likely dead,inferred from transmissions,NA,1/24/19 14:29,5/30/19 1:13,02/10/2019 00:00,Y,Ethiopia,Saudi Arabia,unknown,ad,adult,54,N,N,127,11.79798126,20.23863792,41.05654526,43.19859695,125.4472569,y,0.000379,42.165297,0.999767361,100,static transmissions for 1 month,"tagged in Horn of Africa. Population determination based on where they migrated to. For birds that did not migrate, left as HoA"
Cathartes aura,Turkey Vulture Acopian Center USA GPS,south america,Argentina,53800,Argentina_53800,likely dead,likely dead,inferred from transmissions,NA,02/05/2011 17:35,11/04/2017 00:55,NA,Y,Argentina,Argentina,unknown,ad,adult,54,N,N,2434,-36.904,-36.9144,-64.2445,-64.2402,2463.305799,y,0.002193,243.713928,1.021888889,NA,transmission from same location over 9 days before ceasing,NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Armenia2,48500703868,Armenia2_48500703868,unknown,unknown,unknown,NA,7/22/15 5:01,10/18/15 0:01,10/18/15 0:01,Y,Armenia,Ethiopia,unknown,3rd yr,immature,25,N,N,89,39.491799,7.746899,46.35705,43.0665,87.79166667,y,0.43906,48791.88513,1,NA,unknown,NA
