Seq,id.year,1,2,3,4,5,6,7,8,9,10,11,12
125,Arda_118147_2013.png,1,1,1,0,0,0,0,0,0,0,0,0
126,Ardahan_210_2013.png,0,0,0,0,0,1,1,1,2,2,1,1
127,Ardahan_210_2014.png,1,1,1,2,1,1,1,1,2,0,0,0
128,Ardi_182265_2019.png,2,2,1,1,1,0,0,0,0,0,0,0
129,Armenia2_48500703868_2015.png,0,0,0,0,0,0,1,1,2,1,0,0
130,Armenia3_48500704009_2015.png,0,0,0,0,0,0,1,1,2,2,1,0
131,Arpacay_118174_2012.png,0,0,0,0,0,0,0,2,2,0,0,0
132,Asparuh_131250_2013.png,0,0,0,0,0,0,0,1,2,0,0,0
133,B05AF11F_NA_2018.png,0,0,0,0,0,0,0,1,2,0,0,0
134,Baronnies_2019_Imm_wild_OR181635_5T_181635_2019.png,0,0,0,1,1,0,0,0,0,0,0,0
135,BatuecasA_17020_2017.png,0,0,0,0,0,1,1,1,2,1,1,1
136,BatuecasA_17020_2018.png,1,2,2,1,1,1,1,1,2,1,1,1
137,BatuecasA_17020_2019.png,1,2,1,1,1,0,0,0,0,0,0,0
138,BatuecasP_17022_2017.png,0,0,0,0,0,0,0,1,1,1,1,1
139,BatuecasP_17022_2018.png,1,1,1,1,1,1,1,1,1,1,1,1
140,BatuecasP_17022_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
141,Belgin_171346_2018.png,0,0,0,0,0,0,0,1,2,0,0,0
142,Berenice_130672_2013.png,0,0,0,0,0,0,0,2,2,0,0,0
143,Blanka_171345_2018.png,0,0,0,0,0,0,0,1,2,1,0,0
144,Boris_149505_2015.png,0,0,0,0,0,0,1,1,2,1,1,1
145,Boris_149505_2016.png,1,1,2,1,1,1,1,1,2,2,1,1
146,Boris_149505_2017.png,1,1,2,1,1,1,1,1,2,2,1,1
147,Boris_149505_2018.png,1,1,2,1,1,1,1,1,2,2,1,1
148,Boris_149505_2019.png,1,2,2,1,1,0,0,0,0,0,0,0
