id.tag.year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
Castor_135955_2015,1,1,2,2,1,1,1,2,2,1,1,1
Castor_135955_2016,1,1,0,0,0,0,0,0,0,0,0,0
Causses_2018_Imm_wild_OR171075_4X_171075_2018,0,0,0,1,1,1,1,1,2,2,1,1
Causses_2018_Imm_wild_OR171075_4X_171075_2019,1,1,1,1,1,1,1,1,1,1,1,0
Chandoiro-201253_201253_2020,0,0,0,0,0,0,1,2,2,1,0,0
Chuupa_182258_2019,1,1,1,1,1,1,1,1,1,1,1,1
Chuupa_182258_2020,1,1,1,2,2,1,1,2,2,1,0,0
Cirila 89730_89730_2009,0,0,0,0,0,0,1,2,1,1,1,1
Cirila 89730_89730_2010,1,1,2,1,1,1,1,2,1,1,1,1
Cirila 89730_89730_2011,1,2,2,1,1,1,1,2,2,1,1,1
Cirila 89730_89730_2012,1,1,2,1,1,1,1,2,1,1,1,1
Cirila 89730_89730_2013,1,2,2,1,1,0,0,0,0,0,0,0
Clara_IHC_B05AF11F_2018,0,0,0,0,0,0,0,1,2,0,0,0
Clint_190554_2020,0,0,0,0,0,0,0,1,2,1,0,0
Covas-95R_5019_2016,0,0,0,0,0,0,1,1,2,1,1,1
Covas-95R_5019_2017,1,1,1,1,1,1,1,1,1,1,1,1
Covas-95R_5019_2018,1,0,0,0,0,0,0,0,0,0,0,0
Dalol_182250_2019,0,0,0,0,0,0,0,0,0,0,0,1
Dalol_182250_2020,1,1,1,1,2,2,1,2,2,1,0,0
David I03 Red_190591_2019,0,0,0,0,0,0,0,2,1,1,1,1
David I03 Red_190591_2020,1,0,0,0,0,0,0,0,0,0,0,0
Deni_200636_2020,0,0,0,0,0,0,0,2,2,1,0,0
Diego_190555_2019,0,0,0,0,0,0,1,1,2,1,1,1
Diego_190555_2020,1,1,1,1,1,1,1,1,1,1,0,0
Divshon_L I14 Red_190599_2019,0,0,0,0,0,0,1,1,2,1,1,1
Divshon_L I14 Red_190599_2020,1,1,1,1,1,1,1,1,1,1,0,0
Divshon_S I15 Red_190600_2019,0,0,0,0,0,0,1,1,2,1,1,1
Divshon_S I15 Red_190600_2020,1,1,1,1,1,1,1,1,1,1,0,0
Dobromir_118150_2012,0,0,0,0,0,0,0,1,2,2,1,1
Dobromir_118150_2013,1,1,1,1,1,1,1,1,1,1,1,1
Dobromir_118150_2014,1,1,1,1,2,1,1,2,2,1,1,1
Dobromir_118150_2015,1,1,1,1,2,1,1,2,2,1,1,1
Dobromir_118150_2016,1,1,1,1,2,1,1,2,2,0,0,0
Douro_48797733050_2017,0,0,0,0,0,1,1,2,2,1,1,1
Douro_48797733050_2018,1,2,1,1,1,1,1,1,2,1,1,1
Douro_48797733050_2019,1,2,1,1,1,0,0,0,0,0,0,0
Ein-Ovdat1 I09 Red_190596_2019,0,0,0,0,0,0,1,1,2,1,1,1
Ein-Ovdat1 I09 Red_190596_2020,1,1,1,1,1,1,1,1,1,0,0,0
Elodie_135956_2016,0,0,0,0,0,0,0,1,2,2,1,1
Elodie_135956_2017,1,1,1,1,1,1,1,1,1,0,0,0
Encina-9FJ_5783_2017,0,0,0,0,0,0,1,1,2,1,1,1
Encina-9FJ_5783_2018,1,0,0,0,0,0,0,0,0,0,0,0
Ertale_182252_2019,1,1,1,2,2,1,1,1,2,1,1,1
Ertale_182252_2020,1,1,1,2,1,1,1,1,2,2,0,0
EV10_17113_2017,0,0,0,0,0,0,1,2,0,0,0,0
Fabio_190557_2020,0,0,0,0,0,0,0,2,2,2,0,0
Faia_48505476460_2017,0,0,0,0,0,1,1,2,2,1,1,1
Faia_48505476460_2018,1,2,2,1,1,1,1,1,2,1,1,1
Faia_48505476460_2019,1,1,2,1,1,1,1,1,2,1,1,1
Faia_48505476460_2020,1,2,2,1,1,1,1,2,0,0,0,0
Fangueiro_16094_2020,0,0,0,0,0,0,1,1,1,2,0,0
Fer_182253_2019,0,0,0,0,1,1,1,1,1,1,2,2
Francesca_190554_2019,0,0,0,0,0,0,1,1,0,0,0,0
Gamla 2018 H36 Green_180319_2018,0,0,0,0,0,0,1,1,2,1,1,0
Gamla 2018 J4107_180322_2018,0,0,0,0,0,0,1,2,2,1,1,1
Gamla 2018 J4107_180322_2019,1,1,1,1,1,1,1,1,1,1,1,1
Gamla 2018 J4107_180322_2020,1,1,2,2,1,1,1,2,1,0,0,0
Gamla Quarry I07 Red_190594_2019,0,0,0,0,0,0,1,2,2,1,1,1
Gamla Quarry I07 Red_190594_2020,1,1,1,1,1,1,1,1,1,1,0,0
Gamla Schuna I20 Red_200649_2020,0,0,0,0,0,0,1,1,2,1,0,0
